team_code,team_country,team_founded,id,logo_url,name,team_national,venue_address,venue_capacity,venue_city,venue_id,venue_image,venue_name,venue_surface
,Norway,1928,6988,https://media.api-sports.io/football/teams/6988.png,Frøya,False,Nabeita,1000,Hamarvik,12744,https://media.api-sports.io/football/venues/12744.png,Frøya idrettspark kunstgress,artificial turf
,Norway,1931,6989,https://media.api-sports.io/football/teams/6989.png,Frøyland,False,"Kvernelandsvegen 2, Frøyland",2000,Kvernaland,5104,https://media.api-sports.io/football/venues/5104.png,Frøyland stadion,grass
FYL,Norway,2011,6990,https://media.api-sports.io/football/teams/6990.png,Fyllingsdalen,False,"Allestadveien 12, Fyllingsdalen",3800,Bergen,5105,https://media.api-sports.io/football/venues/5105.png,Varden Amfi,artificial turf
,Norway,,6991,https://media.api-sports.io/football/teams/6991.png,Gjelleråsen,False,Birkelundveien 68,1000,Hagan,5106,https://media.api-sports.io/football/venues/5106.png,Li kunstgress,artificial turf
GJO,Norway,,6992,https://media.api-sports.io/football/teams/6992.png,Gjøvik-Lyn,False,Wergelands gate,11000,Gjøvik,5107,https://media.api-sports.io/football/venues/5107.png,Gjøvik stadion,artificial turf
GRO,Norway,1918,6993,https://media.api-sports.io/football/teams/6993.png,Grorud,False,"Grorudveien 7, Grorud",1741,Oslo,5108,https://media.api-sports.io/football/venues/5108.png,Grorud stadion,artificial turf
HAR,Norway,1903,6994,https://media.api-sports.io/football/teams/6994.png,Harstad,False,Åsvegen,4000,Harstad,5109,https://media.api-sports.io/football/venues/5109.png,Harstad Stadion,artificial turf
,Norway,,6995,https://media.api-sports.io/football/teams/6995.png,Heming,False,,,,,,,
HER,Norway,1932,6996,https://media.api-sports.io/football/teams/6996.png,Herd,False,"Vestmoa 21, Spjelkavik",1000,Ålesund,5110,https://media.api-sports.io/football/venues/5110.png,AMFI Moa Stadion,artificial turf
,Norway,1917,6997,https://media.api-sports.io/football/teams/6997.png,Hinna,False,Ordfører Tveteraas gate 11,1000,Stavanger,5111,https://media.api-sports.io/football/venues/5111.png,Wintershallbanen Kunstgress,artificial turf
HON,Norway,1895,6998,https://media.api-sports.io/football/teams/6998.png,Hønefoss,False,Ringeriksgata 13,4586,Hønefoss,5112,https://media.api-sports.io/football/venues/5112.png,AKA Arena,artificial turf
,Norway,1907,6999,https://media.api-sports.io/football/teams/6999.png,IF Ready,False,Stasjonsvn 24,2000,Oslo,5113,https://media.api-sports.io/football/venues/5113.png,Gressbanen,artificial turf
,Norway,,7000,https://media.api-sports.io/football/teams/7000.png,Junkeren,False,Postboks 1,1000,Bodø,5114,https://media.api-sports.io/football/venues/5114.png,Nordlandshallen,artificial turf
KJE,Norway,1913,7001,https://media.api-sports.io/football/teams/7001.png,Kjelsås,False,"Neptunvn 8-12, Kjelsås",3317,Oslo,5115,https://media.api-sports.io/football/venues/5115.png,Grefsen Stadion,artificial turf
,Norway,1972,7002,https://media.api-sports.io/football/teams/7002.png,Kolstad,False,Blisterhaugvegen 14,4000,Saupstad,19954,https://media.api-sports.io/football/venues/19954.png,Kolstad idrettspark stor,artificial turf
,Norway,1937,7003,https://media.api-sports.io/football/teams/7003.png,Kråkerøy,False,"K.G. Mehldalsvei 7, Kråkerøy",12565,Fredrikstad,2792,https://media.api-sports.io/football/venues/2792.png,Nye Fredrikstad Stadion,grass
KVI,Norway,1906,7004,https://media.api-sports.io/football/teams/7004.png,Kvik Halden,False,Roald Amundsens Gate,5000,Halden,5117,https://media.api-sports.io/football/venues/5117.png,Halden Stadion,grass
,Norway,1999,7005,https://media.api-sports.io/football/teams/7005.png,Lokomotiv Oslo,False,Apalveien 8,1000,Oslo,12745,https://media.api-sports.io/football/venues/12745.png,Tørteberg kunstgress,artificial turf
LYN,Norway,1896,7006,https://media.api-sports.io/football/teams/7006.png,Lyn,False,"Dalsbergstien 17, St. Hanshaugen",15400,Oslo,19421,https://media.api-sports.io/football/venues/19421.png,Bislett Stadion,grass
,Norway,1946,7007,https://media.api-sports.io/football/teams/7007.png,Lysekloster,False,"Edne 17, Lysekloster",1000,Bergen,5119,https://media.api-sports.io/football/venues/5119.png,Lysekloster Framo Idrettsplass,artificial turf
LOR,Norway,1933,7008,https://media.api-sports.io/football/teams/7008.png,Lørenskog,False,Strømsveien 16B,1850,Strømmen,1198,https://media.api-sports.io/football/venues/1198.png,Strømmen Stadion,artificial turf
,Norway,1939,7009,https://media.api-sports.io/football/teams/7009.png,Madla,False,Regimentsveien 101,1500,Hafrsfjord,5121,https://media.api-sports.io/football/venues/5121.png,Madla Handelslag Stadion,artificial turf
,Norway,1975,7010,https://media.api-sports.io/football/teams/7010.png,Melbo IL,False,Villaveien 20,1000,Melbu,5122,https://media.api-sports.io/football/venues/5122.png,Havfisk Stadion,artificial turf
,Norway,1932,7011,https://media.api-sports.io/football/teams/7011.png,Mjølner,False,Lillevikveien,6700,Narvik,5123,https://media.api-sports.io/football/venues/5123.png,Narvik Stadion,artificial turf
MOS,Norway,1906,7012,https://media.api-sports.io/football/teams/7012.png,Moss,False,"Kallumvegen 6A, Melløs",9410,Moss,5124,https://media.api-sports.io/football/venues/5124.png,Melløs Stadion,grass
,Norway,1984,7013,https://media.api-sports.io/football/teams/7013.png,NTNUI,False,Haakon VIIs gate 60,1000,Trondheim,5125,https://media.api-sports.io/football/venues/5125.png,Koteng Arena,artificial turf
,Norway,,7014,https://media.api-sports.io/football/teams/7014.png,Nardo,False,Fiolsvingen 1,1500,Trondheim,5126,https://media.api-sports.io/football/venues/5126.png,Nissekollen Kunstgress,artificial turf
,Norway,1891,7015,https://media.api-sports.io/football/teams/7015.png,Nordstrand,False,Vangen 3,1100,Oslo,5127,https://media.api-sports.io/football/venues/5127.png,Nordstrand kunstgress,artificial turf
,Norway,1935,7016,https://media.api-sports.io/football/teams/7016.png,Norild,False,Karl Rasmussens plass 1,1000,Vadsø,5128,https://media.api-sports.io/football/venues/5128.png,Vadsø stadion kunstgress,artificial turf
NYB,Norway,1918,7017,https://media.api-sports.io/football/teams/7017.png,Nybergsund,False,Idrettsvegen 5,1500,Trysil,5129,https://media.api-sports.io/football/venues/5129.png,Nybergsund Stadion,artificial turf
,Norway,1912,7018,https://media.api-sports.io/football/teams/7018.png,Oppsal,False,"Vetlandsvegen 45, Oppsal",1000,Oslo,5130,https://media.api-sports.io/football/venues/5130.png,Trasop kunstgress,artificial turf
,Norway,1918,7019,https://media.api-sports.io/football/teams/7019.png,Ottestad,False,Parkvegen 32,1500,"Ottestad, Stange",5131,https://media.api-sports.io/football/venues/5131.png,Ottestad Idrettspark,grass
POR,Norway,1905,7020,https://media.api-sports.io/football/teams/7020.png,Pors Grenland,False,Stadionveien 4,7000,Porsgrunn,5132,https://media.api-sports.io/football/venues/5132.png,Pors Stadion,artificial turf
ORS,Norway,1922,7021,https://media.api-sports.io/football/teams/7021.png,Porsanger,False,,500,Sørfold,5133,https://media.api-sports.io/football/venues/5133.png,Lakselv kunstgress,artificial turf
,Norway,,7022,https://media.api-sports.io/football/teams/7022.png,Rørvik,False,,,,,,,
HOU,Norway,1949,7023,https://media.api-sports.io/football/teams/7023.png,Senja,False,Islandsbotn,1000,Silsand,5134,https://media.api-sports.io/football/venues/5134.png,Senja Storhall,artificial turf
,Norway,1930,7024,https://media.api-sports.io/football/teams/7024.png,Skjervøy,False,Trollveien,1200,Skjervøy,5135,https://media.api-sports.io/football/venues/5135.png,Lerøy Stadion,artificial turf
,Norway,1967,7025,https://media.api-sports.io/football/teams/7025.png,Skjetten,False,Nordens vei 21,3000,Skjetten,5136,https://media.api-sports.io/football/venues/5136.png,Skjetten Stadion,artificial turf
,Norway,1934,7026,https://media.api-sports.io/football/teams/7026.png,Skånland,False,Sandbakken 1,1000,Evenskjer,5137,https://media.api-sports.io/football/venues/5137.png,Skånland kunstgress,artificial turf
,Norway,1934,7027,https://media.api-sports.io/football/teams/7027.png,Sola,False,,1000,Sola,5138,https://media.api-sports.io/football/venues/5138.png,Sola Stadion,grass
,Norway,1945,7028,https://media.api-sports.io/football/teams/7028.png,Sotra,False,,1000,Sotra,5139,https://media.api-sports.io/football/venues/5139.png,Straume stadion,artificial turf
,Norway,1928,7029,https://media.api-sports.io/football/teams/7029.png,Sparta Sarpsborg,False,Albert Moeskaus vei,1000,Sarpsborg,5140,https://media.api-sports.io/football/venues/5140.png,Sparta Kunstgressbane,artificial turf
,Norway,1932,7030,https://media.api-sports.io/football/teams/7030.png,Spjelkavik,False,"Vasstrandveien 70 / Myrdalsvegen, Spjelkavik",2000,Ålesund,5141,https://media.api-sports.io/football/venues/5141.png,Spjelkavik stadion,grass
,Norway,1926,7031,https://media.api-sports.io/football/teams/7031.png,Sprint-Jeløy,False,Orkerødgata 60,2000,Moss,5142,https://media.api-sports.io/football/venues/5142.png,Bellevue,artificial turf
,Norway,1910,7032,https://media.api-sports.io/football/teams/7032.png,Steinkjer,False,Guldbergaunet,4000,Steinkjer,19727,https://media.api-sports.io/football/venues/19727.png,Guldbergaunet Tobb Arena,artificial turf
,Norway,,7033,https://media.api-sports.io/football/teams/7033.png,Stjørdals-Blink,False,Stokkanvegen 18D,2500,Stjørdal,11954,https://media.api-sports.io/football/venues/11954.png,MUS Stadion Sandskogan,artificial turf
,Norway,,7034,https://media.api-sports.io/football/teams/7034.png,Storm,False,Sanssouciveien 14,1000,Skien,5145,https://media.api-sports.io/football/venues/5145.png,Bratsberg Kunstgress,artificial turf
,Norway,1922,7035,https://media.api-sports.io/football/teams/7035.png,Stryn,False,,1500,Stryn,5146,https://media.api-sports.io/football/venues/5146.png,Stryn stadion,grass
,Norway,1918,7036,https://media.api-sports.io/football/teams/7036.png,Sunndal,False,Skolevegen 14,1500,Sunndalsøra,5147,https://media.api-sports.io/football/venues/5147.png,Sande stadion,grass
,Norway,1916,7037,https://media.api-sports.io/football/teams/7037.png,Tiller,False,Torvmyra 4,1500,Trondheim,5148,https://media.api-sports.io/football/venues/5148.png,TOBB Arena Sør,artificial turf
,Norway,1995,7038,https://media.api-sports.io/football/teams/7038.png,Toten,False,Jernbanegata,1000,Lena,5149,https://media.api-sports.io/football/venues/5149.png,Østre Toten kunstgressbane,artificial turf
,Norway,,7039,https://media.api-sports.io/football/teams/7039.png,Trygg/Lade,False,Haakon VII gate 7,1000,Trondheim,5150,https://media.api-sports.io/football/venues/5150.png,OBOS Kunstgressbane,artificial turf
TRA,Norway,1924,7040,https://media.api-sports.io/football/teams/7040.png,Træff,False,Moldelivegen 69/71,1500,Molde,5151,https://media.api-sports.io/football/venues/5151.png,Reknesbanen,artificial turf
TON,Norway,1985,7041,https://media.api-sports.io/football/teams/7041.png,Tønsberg,False,Trudvangveien 73,5600,Tønsberg,5152,https://media.api-sports.io/football/venues/5152.png,Tønsberg Gressbane,grass
,Norway,1909,7042,https://media.api-sports.io/football/teams/7042.png,Ullern,False,Sportsveien 20,2000,Oslo,5153,https://media.api-sports.io/football/venues/5153.png,Ullern kunstgress,artificial turf
VAR,Norway,1916,7043,https://media.api-sports.io/football/teams/7043.png,Vard,False,Karmsundggaten 169,8950,Haugesund,12130,https://media.api-sports.io/football/venues/12130.png,Haugesund Sparebank Arena,grass
,Norway,1916,7044,https://media.api-sports.io/football/teams/7044.png,Verdal,False,Kjærhaugvegen 8,1000,Verdal,19620,https://media.api-sports.io/football/venues/19620.png,Verdalskalk Arena,artificial turf
,Norway,1910,7045,https://media.api-sports.io/football/teams/7045.png,Vestfossen,False,Dokkaveien 4,1000,Vestfossen,5155,https://media.api-sports.io/football/venues/5155.png,Strandajordet gress,grass
VID,Norway,1906,7046,https://media.api-sports.io/football/teams/7046.png,Vidar,False,Rektor Oldens gate 31,4000,Stavanger,5156,https://media.api-sports.io/football/venues/5156.png,Lassa idrettspark,grass
VIN,Norway,,7047,https://media.api-sports.io/football/teams/7047.png,Vindbjart,False,Askedalsvegen,4500,Vennesla,11314,https://media.api-sports.io/football/venues/11314.png,Sparebanken Sør-banen Vennesla,artificial turf
,Norway,,7048,https://media.api-sports.io/football/teams/7048.png,Åga,False,,,,,,,
